,Player,FGM,FGA,FG%,FTM,FTA,FT%,3PTM,3PTA,3PT%,PTS,DREB,OREB,REB,AST,ST,BLK,TO,zFGM,zFGA,zFG%,zFTM,zFTA,zFT%,z3PTM,z3PTA,z3PT%,zPTS,zDREB,zOREB,zREB,zAST,zST,zBLK,zTO,zTotal,is_g,is_pg,is_sg,is_f,is_sf,is_pf,is_c,is_util,num_elig_positions,rand_team,cat_win,cat_loss,matchup_win,matchup_loss,cat_perc,matchup_perc
213,Montrezl Harrell,7.476,12.889,0.58,3.667,5.5710000000000015,0.6579999999999999,0.0,0.28600000000000003,0.0,18.619,4.476,2.587,7.063,1.6980000000000002,0.619,1.143,1.714,1.3430000000000002,0.6409999999999999,2.674,1.051,1.5590000000000002,-2.274,-1.554,-1.534,-0.489,0.984,0.35600000000000004,1.84,0.871,-0.5660000000000001,-0.649,1.347,-0.189,0.318,0,0,0,1,0,1,1,1,4,0,26373.0,35796.0,7534.0,10201.0,0.424214640737345,0.4248096983366225
162,Kemba Walker,7.0,16.64,0.421,3.9,4.5,0.867,3.3,8.76,0.377,21.2,3.42,0.66,4.08,4.94,0.94,0.5,2.14,1.118,1.49,-1.148,1.202,0.992,1.355,2.149,2.134,0.763,1.414,-0.22,-0.494,-0.325,1.128,0.238,-0.041,-0.7020000000000001,0.65,1,1,0,0,0,0,0,1,3,0,16769.0,22868.0,4792.0,6518.0,0.42306430860055,0.4236958443854996
54,Daniel Theis,3.724,6.586,0.565,1.3969999999999998,1.828,0.764,0.448,1.3969999999999998,0.321,9.293,4.31,2.241,6.5520000000000005,1.638,0.603,1.293,0.828,-0.4320000000000001,-0.785,1.208,-0.422,-0.425,-0.083,-1.051,-1.053,-0.241,-0.568,0.266,1.421,0.665,-0.598,-0.6920000000000001,1.671,0.8809999999999999,-0.014,0,0,0,1,0,1,1,1,4,0,26235.0,35958.0,7572.0,10223.0,0.4218320389754474,0.4255127844900253
88,Eric Bledsoe,5.6960000000000015,11.821,0.482,2.804,3.446,0.813,1.25,3.589,0.348,15.446,3.893,0.732,4.625,5.393,0.946,0.446,2.5,0.501,0.4,0.443,0.491,0.433,0.416,-0.152,-0.104,-0.195,0.456,0.038,-0.407,-0.107,1.364,0.255,-0.157,-1.137,0.149,1,1,1,0,0,0,0,1,4,0,19491.0,26738.0,5581.0,7629.0,0.4216184646001428,0.4224829674489024
216,Myles Turner,4.2360000000000015,9.4,0.451,1.964,2.6180000000000003,0.75,1.4,4.164,0.336,11.836,5.273,1.273,6.545,1.109,0.764,2.182,1.236,-0.189,-0.14800000000000002,-0.152,-0.054000000000000006,-0.006,-0.248,0.017,0.14400000000000002,-0.502,-0.145,0.7909999999999999,0.248,0.6629999999999999,-0.8740000000000001,-0.25,3.59,0.388,0.193,0,0,0,1,0,1,1,1,4,0,26388.0,36234.0,7583.0,10327.0,0.42138545559068696,0.42339475153545497
130,Jaylen Brown,7.56,15.44,0.49,3.18,4.32,0.736,2.14,5.62,0.381,20.44,5.28,1.08,6.36,2.18,1.12,0.32,2.32,1.383,1.219,0.7809999999999999,0.735,0.8959999999999999,-0.616,0.847,0.775,0.633,1.288,0.795,0.014,0.589,-0.315,0.735,-0.43,-0.92,0.495,1,0,1,1,1,0,0,1,5,0,20848.0,28646.0,6003.0,8167.0,0.4212227744777145,0.4236414961185603
286,Will Barton,5.724,12.724,0.45,1.759,2.293,0.767,1.862,4.966,0.375,15.069,4.9830000000000005,1.31,6.2929999999999975,3.655,1.052,0.5,1.517,0.514,0.604,-0.23,-0.187,-0.17800000000000002,-0.084,0.535,0.4920000000000001,0.414,0.393,0.633,0.293,0.562,0.456,0.546,-0.041,0.049,0.281,1,0,1,1,1,0,0,1,5,0,21070.0,28968.0,6033.0,8267.0,0.421079979215796,0.4218881118881119
224,OG Anunoby,4.238,8.365,0.507,0.937,1.365,0.6859999999999999,1.3019999999999998,3.4130000000000003,0.381,10.714,4.238,1.175,5.4129999999999985,1.571,1.3969999999999998,0.667,1.19,-0.189,-0.383,0.6779999999999999,-0.72,-0.67,-0.423,-0.094,-0.181,0.419,-0.332,0.226,0.129,0.209,-0.633,1.5,0.319,0.443,0.018000000000000002,0,0,0,1,1,1,0,1,4,0,18949.0,26146.0,5392.0,7468.0,0.4202017962080053,0.4192846034214619
293,De'Aaron Fox,7.311,15.378,0.475,4.7780000000000005,6.8,0.703,1.044,3.4,0.307,20.444000000000006,3.3560000000000003,0.667,4.022,6.756,1.422,0.511,3.133,1.265,1.204,0.4,1.7719999999999998,2.211,-1.7480000000000002,-0.382,-0.18600000000000005,-0.924,1.288,-0.255,-0.486,-0.348,2.076,1.57,-0.017,-1.901,0.326,1,1,0,0,0,0,0,1,3,0,16516.0,22971.0,4743.0,6517.0,0.4182642388634234,0.4212255772646537
135,Jeremy Lamb,4.6960000000000015,10.413,0.451,2.0,2.391,0.836,1.152,3.435,0.335,12.543,3.826,0.522,4.348,2.087,1.196,0.478,1.087,0.028,0.081,-0.166,-0.03,-0.126,0.477,-0.261,-0.171,-0.418,-0.027000000000000003,0.002,-0.662,-0.218,-0.363,0.944,-0.08800000000000001,0.568,-0.025,1,0,1,1,1,0,0,1,5,0,19749.0,27534.0,5682.0,7853.0,0.4176765433665376,0.41980051717768746
128,Jarrett Allen,4.172,6.4529999999999985,0.6459999999999999,2.297,3.703,0.62,0.0,0.078,0.0,10.640999999999998,6.4060000000000015,3.047,9.453,1.328,0.578,1.328,1.125,-0.22,-0.815,2.091,0.162,0.569,-1.986,-1.554,-1.624,-0.09,-0.344,1.41,2.396,1.828,-0.76,-0.762,1.747,0.522,0.151,0,0,0,1,0,1,1,1,4,0,25455.0,35496.0,7376.0,10099.0,0.4176305556922774,0.4220886981402003
0,Aaron Gordon,5.414,12.517,0.433,2.362,3.5,0.675,1.172,3.897,0.301,14.362,5.8279999999999985,1.776,7.603,3.707,0.862,0.621,1.621,0.368,0.557,-0.603,0.205,0.461,-1.227,-0.239,0.029,-1.198,0.276,1.094,0.857,1.087,0.483,0.022,0.219,-0.076,0.136,0,0,0,1,1,1,0,1,4,0,18994.0,26690.0,5448.0,7582.0,0.4157691970930741,0.4181120491174213
2,Al Horford,4.817,10.9,0.442,0.917,1.217,0.753,1.483,4.4,0.337,12.033,5.332999999999998,1.533,6.867000000000001,4.067,0.867,0.917,1.083,0.085,0.191,-0.345,-0.733,-0.7490000000000001,-0.098,0.11,0.247,-0.513,-0.112,0.8240000000000001,0.563,0.792,0.6709999999999999,0.035,0.858,0.5720000000000001,0.141,0,0,0,1,0,1,1,1,4,0,25925.0,36468.0,7493.0,10407.0,0.41551135544051415,0.4186033519553073
33,CJ McCollum,8.855,19.548,0.453,1.984,2.645,0.75,2.806,7.387,0.38,22.5,3.435,0.6609999999999999,4.097,4.323,0.742,0.629,1.871,1.995,2.148,-0.258,-0.041,0.008,-0.25,1.595,1.54,0.779,1.631,-0.212,-0.493,-0.319,0.805,-0.309,0.237,-0.378,0.499,1,1,1,0,0,0,0,1,4,0,19454.0,27532.0,5567.0,7858.0,0.414038224151875,0.4146741154562383
173,Kris Dunn,2.98,6.706,0.444,0.784,1.0590000000000002,0.741,0.569,2.196,0.259,7.314,3.196,0.451,3.647,3.392,1.98,0.333,1.3330000000000002,-0.784,-0.758,-0.17600000000000002,-0.8190000000000001,-0.8320000000000001,-0.13,-0.916,-0.7070000000000001,-1.139,-0.898,-0.342,-0.748,-0.499,0.319,3.112,-0.401,0.271,-0.32,1,1,1,1,1,0,0,1,6,0,23242.0,32911.0,6655.0,9445.0,0.41390486705964064,0.4133540372670808
118,Jabari Parker,6.03,12.091,0.499,1.6669999999999998,2.242,0.743,0.939,3.515,0.267,14.667,4.273,1.636,5.909,1.818,1.273,0.455,1.818,0.659,0.461,0.8059999999999999,-0.247,-0.205,-0.263,-0.5,-0.136,-1.704,0.326,0.245,0.688,0.408,-0.504,1.157,-0.139,-0.314,0.043,0,0,0,1,1,1,0,1,4,0,19219.0,27274.0,5502.0,7783.0,0.413374056309552,0.4141512984569063
26,Brandon Clarke,5.08,8.16,0.623,1.46,1.86,0.785,0.42,1.04,0.404,12.04,4.28,1.56,5.84,1.44,0.52,0.84,0.92,0.21,-0.429,2.3,-0.381,-0.408,0.047,-1.083,-1.208,0.294,-0.111,0.249,0.595,0.38,-0.701,-0.923,0.693,0.77,0.017,0,0,0,1,0,1,1,1,4,0,25660.0,36877.0,7370.0,10535.0,0.4103170922813694,0.4116168667969841
